DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
716,57,12,CdcNLdYB3wNP3Z0IHut7YZ3wfGOu5op6,cut,tomato,cut tomato,363027,364875,1,0,1.8,,
717,57,13,Y1xpeQAUe7d6QYMuYRdUMXg1rI0ehZzL,cut,tomato,dice tomato,366151,369183,1,1,3,,
718,57,14,e9e1efb579e04773be002ce5567fdb1d,cut,tomato,"take the tomato, put on cutting board",376600,379360,1,1,2.8,,
719,57,15,Cf3MJjm3UALF8OVDpIVDzG2Rr77ZmBot,Turn,gas,go to stove,396462,398444,1,0,2,,
720,57,16,T5W2VQkzjU5FAvYracQ1Wqiz4IsPjkFm,on,gas,turn on gas for pan,401987,404954,1,1,3,,
721,57,17,DCpmPsl9cURheFqvfUkK94fqzAQEsreB,Turn,oil,go to stove,414276,416719,1,1,2.4,,
722,57,18,7XDUiJCp119ZQcd6vkRU6T6ExorRFSek,add,oil,pour oil in pan,419240,421607,1,1,2.4,,
723,57,19,e4e19e9f673043798fd1d93549a7078a,add,oil,"take the oil, put in pan",423520,426080,1,1,2.6,,
724,57,20,744f59c81e0b4ce798e7f46bf8408c0c,add,veges,"take onions, put in pan",438840,441520,1,1,2.7,,
725,57,21,TgFHOXsQ0cncmyUV8ZhkMVJ1K2gliq7B,Turn,veges,go to stove,449414,450977,1,1,1.6,,
726,57,22,jeX0hmOj5kjYSicdy5HAfPnsg2A9LqYY,add,veges,put veggies in pan,455210,457187,1,1,2,,
727,57,23,nzTKkspIrGhiEDqUuWdRaghC4dCaKxUG,add,veges,pointing to pan,459009,463183,0,1,4.2,,
728,57,24,2OTLmBo2QwznMCAvcFN3AD4p57Yc40JX,Turn,salt,go to stove,471980,474361,1,1,2.4,,
729,57,25,ul8g66RUi3Maf4cMpbF8AaFIbqgFUQ70,add,salt,salt the veggies,477097,480177,1,1,3.1,,
730,57,26,KJy4nWU9nG1DQ28PEW26qIX3O5dtGK1y,Turn,pepper,go to stove,494979,497104,1,1,2.1,,
731,57,27,5rCqXp9POFyOMiujUzXROzJFFY4vNUwa,add,pepper,put pepper,500277,503204,1,1,2.9,,
732,57,28,ygtr4wP3N1oYaMIcYsuLCBkzEQhnhadB,Turn,veges,go to stove,518902,520645,1,1,1.7,,
733,57,29,cc6485638b3944e68f7ccc055f8f8025,mix,veges,"take spatula, stir veggies",524600,527600,1,1,3,,
734,57,30,kDNzcw2KQ5P69CiFGVM9JnlKvKaj4anu,cut,potato,cut potato,550816,552537,1,1,1.7,,
735,57,31,f77f9a3faf2548be8793ffb3f234832d,cut,potato,"take potato, put on cutting board",553200,557200,1,1,4,,
736,57,32,AGpdX5Pd6k2zguCNh20puzvMJhl0p3JE,cut,potato,dice the tomato,560271,564056,1,1,3.8,,
737,57,33,YS5SShUgW2OkDXzywMb9DGfeiftz9016,cut,potato,take the potato,565641,569844,1,1,4.2,,
738,57,34,SPlP1x3Q0KZVvePjTpxRKzygrk2z4POx,cut,potato,dice the potato,576334,580580,1,1,4.2,,
739,57,35,9huK1IjOQB2Wz197eL5sBPLPTHM2ne8m,cut,carrot,chop up carrot,598536,602426,1,1,3.9,,
740,57,36,ZyG8EVqxlhs36Iaf7AfBNLi9pqy3iWzg,cut,celery,cut celery,618358,621452,1,1,3.1,,
741,57,37,ZlHK9eXAAW40Wo17KK6rBEOvLDHsZbeF,Turn,lid,go to stove,639210,641353,1,1,2.1,,
742,57,38,2Suwoesk1RlLEFBzTT7CZFYSr6jf26kA,off,lid,take lid off pot,644173,647270,1,0,3.1,,
743,57,39,jEOppjYCGfP8AFLzrfnHGKxBiLIU9ONW,off,lid,take lid off pot,649779,652779,1,1,3,,
744,57,40,D5iwSCCXPM2kHwdtlmrpkN0BwvH6DzeY,add,veges,take veggies to stove,664956,668347,1,1,3.4,,
745,57,41,NczAgtQxLrDQJHBwNAr4VkX5GE1afuue,add,veges,put veggies in stove,676165,679327,1,1,3.2,,
746,57,42,dO2LLdt8hOyMFhRl3iiMLSNXAXl3jAtK,add,veges,put veggies in water,681046,683985,1,1,2.9,,
747,57,43,P0HDmNeIrgpcFRxTIyONm6GYA11EWHDn,Turn,gas,go to stove,695405,697353,1,1,1.9,,
748,57,44,nwSZpouyyEsuof0r57VNXigJ9a66EaSm,off,gas,turn off gas,700569,703949,1,1,3.4,,
749,57,45,mCFQtpYkGWGsbUHYKbhFDUQqA7WvMymf,Turn,gas,go to stove,713126,715023,1,1,1.9,,
750,57,46,s9qLJaGyxb5zMUCRCU5pXbIlKpvZA32M,add,veges,put contents in pot,717205,722182,1,1,5,,
751,57,47,HHVH4umUb1S7kkfzdbXdbDrR3bydfMdR,Turn,spice,go to pot,738130,740579,1,1,2.4,,
752,57,48,n1dFvAV0euVo5QNdAfvX1pE29WTCYO0l,add,spice,season the pot,743273,746370,1,1,3.1,,
753,57,49,ueoPtI5wOId5GohHtk1Yyktwc3N8NvxX,Turn,veges,go to stove,767211,769371,1,1,2.2,,
754,57,50,WcnUetunVDqu4UD5lVqWT3HjueM6tz0q,Turn,veges,go to stove,769718,773600,1,1,3.9,,
755,57,51,TYb6XXJplmykUDkoZkPJyG6SFagetgh6,Turn,veges,go to stove,773614,776767,1,1,3.2,,
756,57,52,tOXrMjETtyeggBplsg2wGawVUT0Ai6BW,on,lid,put lid on soup,797579,800103,1,1,2.5,,
757,57,53,heAmrwZLRn7o1S8WIEoCY0FPCCtkVrXl,off,gas,turn off gas for soup,814604,817079,1,0,2.5,,
758,57,54,5b0o7mHzbk9tAH4eoxIBnGuNgkhnSJWb,off,lid,take lid off soup,830024,832485,1,1,2.5,,
759,57,55,LGjwxTJ7xg0nTsARgLwfVuJQqvkme49K,fetch,soup,put soup in bowl,847010,849342,1,0,2.3,,
760,57,56,al1QWaByj1fsacm4CDYFJ1z9psa5znkJ,fetch,soup,pour soup in bowl,860637,863058,1,0,2.4,,
761,57,57,vlKNjuEaFDa4CipB17Gjxjeta68I9ARV,fetch,soup,grab a spoon,868399,870349,1,0,2,,
762,57,58,yjxnBxZZ0DzJyE31ul3CIvPCSOIms3i5,fetch,soup,grab the spoon,870373,874332,1,1,4,,
763,57,59,3sptPMA5rHQJLXwTa6wPEHb35qIBvArb,clean up,,take soup to sink,899097,901181,1,1,2.1,,
764,57,60,LQztIYW1pbn57ti7D9rIr9g0xygzfkpz,clean up,,clean the dishes,929033,931099,1,1,2.1,,
765,57,61,AtWTgeYFiJMr7ecU0Dv6L8hCGg6fKiXm,clean up,,clean the dishes,935912,938911,1,1,3,,
766,58,0,hhO10O18sSrJC123yEYerqeSYzbqcrjK,on,gas,turn around to turn on stove,264913,269025,1,0,4.1,,
767,58,1,mNQN0QGUlhnkHitG3sMUn4wnyxyuL2wT,on,gas,turn to right,270166,274659,1,1,4.5,,
768,58,2,QoYUu8sOHda0GYJAaU8Ewpbf0TPBvAQp,on,gas,"turn to right, turn on stove",274862,280053,1,1,5.2,,
769,58,3,d64LBhp4flJsLKU7relOLvhxJfDOFK5s,on,gas,turn on stove,281554,286204,1,1,4.7,,
770,58,4,aw5wRkza51PPcjnppSY78v44yTyCZLwD,on,gas,turn to right,288304,291617,1,1,3.3,,
771,58,5,oh0PFb0pfdw3cYizcAE1XUZYATg1HYlC,on,gas,turn stove on,292284,296036,1,1,3.8,,
772,58,6,bnetiN2JjxCBpXmxDE0RGTfGx0Sbwxz0,on,lid,put lid on pot,306186,312139,1,1,6,,
773,58,7,kLng0TIIEMnMcATN9oKZdiwUsqYPTEAA,on,lid,"turn to right, put lid on pot",314830,326040,1,1,11.2,,
774,58,8,77194S0m08hNAAJJAzeVmMdk3CqRd9l5,fetch,onion,"turn around, get the onion",334232,339383,1,1,5.2,,
775,58,9,aaNa6QZDzQNCuyvFd42tb2pB8xd7MXAb,Turn,onion,turn around,340287,343510,1,1,3.2,,
776,58,10,AKkVCGf061noeell1CyGotV48O5ymf4G,fetch,onion,"onion is next to apple, grab the onion",346227,352274,1,1,6,,
777,58,11,U2LVLiy703JBX8q48nKkFCGOvOWgf8hL,fetch,carrot,"turn around, get carrot",367985,371712,1,0,3.7,,
778,58,12,iVncu4XCGMSY3z8q1ByEq9Lb0RNr7dba,fetch,carrot,"carrot is on right, grab carrot",376836,382914,1,1,6.1,,
779,58,13,yPPwnCf20urFVvYUwVf03e7fkvqjAhY9,cut,onion,cut onion into pieces,391690,397158,1,0,5.5,,
780,58,14,dAc9uaAyJlSR120bnVIutAzqdK9Cs3yt,cut,tomato,cut tomato into pieces,410647,416084,1,1,5.4,,
781,58,15,9Zybjhi2DgvbFoFShcT0LQZkBldyVmqC,cut,tomato,pick up tomato on right,416917,421275,1,1,4.4,,
782,58,16,sWiBvhQEQmiBY40tEow8tU3VAvsc8RAR,cut,tomato,"pick up tomato, pick up knife,  cut the tomato",426166,432122,1,1,6,,
783,58,17,Q2eF2WfzWgEDyzdtdprK0F9SgC8NAznG,cut,tomato,cutting motion,436947,439270,0,1,2.3,,
784,58,18,5N737Idsz5oeF8XxMvBTEHfgnC85OSgs,on,gas,"turn around, turn on stove",446512,453792,1,0,7.3,,
785,58,19,KYSEAHARS5sJY0Ly7e7qGZNmjSHIhA49,on,gas,turn on stove,457576,460499,1,1,2.9,,
786,58,20,OnHMaPm5megdh2NGxGfq10apztyKADO3,add,oil,pour oil into pan,473058,478597,1,1,5.5,,
787,58,21,KU0VdnZz4tOAIBQXN08t3wwqfhtacr2M,add,oil,find the oil,488087,492674,1,1,4.6,,
788,58,22,r2wOHIVvUiwmrThtiL7xqwYnyJrU7GIQ,add,veges,"grab onion pieces, put pieces in pan",505013,513664,1,1,8.7,,
789,58,23,sVCI0Eulh4FO9Rx09r3WDdoypGCa5VQO,add,veges,"turn around, put onions in pan",517133,521572,1,0,4.4,,
790,58,24,Lpc0gY4t0L1uMtnNNlC1jX9aADR4LOaC,add,veges,put onions in pan,524824,528038,1,0,3.2,,
791,58,25,tF990VBd1MIlh8OyoAprVVd6dlIXqrvZ,add,veges,onions in square box,529418,534879,1,1,5.5,,
792,58,26,M0dkiA0PuOgP710saiOAv2vzMhFz2pUG,add,salt,"turn around, shake salt in pan",544685,551901,1,1,7.2,,
793,58,27,bjMRHfLO4SFvTmGVkDpPGJbzn65YPE2K,add,salt,"salt is on right, grab salt",555226,563883,1,1,8.7,,
794,58,28,W4F8Uu3Jx8G4aMc1tOPQq3ZaWda1rnGc,add,pepper,"turn around, grab pepper, grind pepper into pan",574359,582146,1,1,7.8,,
795,58,29,1e4s1T4m1XkzP0giFc4A5I6LGQ2shwxh,add,pepper,pepper on left,582681,584640,1,1,2,,
796,58,30,Mqbgd2zuE7rpGfAlFPE5JVOKr1CuNKGZ,add,pepper,motions to left,584797,587558,0,1,2.8,,
797,58,31,fKZY0TAGWNX4Cevc6kbeg5Tn1qNIopJ0,add,pepper,grind the pepper,587696,596626,1,1,8.9,,
798,58,32,MGYckMdADyFta9nCAxQILX2OBVWe0iUa,mix,soup,"grab big spoon, stir the soup",605301,621769,1,1,16.5,,
799,58,33,ctKiufTIR4EEM6FGfMDIYvklYfA8cY7e,mix,soup,reference spoon,625567,628370,1,1,2.8,,
800,58,34,DQc3SFQ4VMgnxxtgB10XAN8FbmEEqXBw,mix,soup,stir the soup,628543,633456,1,1,4.9,,
801,58,35,VVtqEl77XMpyAdrdAWJSXSoPpYs5tn5t,mix,soup,stir,636957,639678,1,1,2.7,,
802,58,36,q3F7o1qp1zJDHALFyXVIili2QFrWw6Q4,cut,potato,"grab potato on right, grab potato on right",651683,658296,1,1,6.6,,
803,58,37,c8WZ6tMIcM6L00qrp5P3qi4wS4iSaNyx,cut,potato,"grab potato on right, cut the potato",659454,666452,1,1,7,,
804,58,38,IqXcWAhNvKViYznwi0RxzRIECTJjN2Nq,cut,potato,chopping the potato,669993,675407,0,1,5.4,,
805,58,39,xfMSbC3rhjsLQhwnd42upzKEihdRH6qi,cut,carrot,cut carrot pieces,683852,688734,1,1,4.9,,
806,58,40,VSOzw0NCKjPG3ZVdaLVJDpCWbT3Rjz1t,cut,carrot,grab carrot,696132,699285,1,1,3.2,,
807,58,41,n824XA3VSI7laPLJnd128fApEXVQmigr,cut,carrot,grab carrot from bottom,701044,704845,1,1,3.8,,
808,58,42,4tBPo3HOPKh5R9ZRsb36WQ0OaR38nRZP,cut,carrot,grab carrot from bottom,707981,713448,1,1,5.5,,
809,58,43,TxE24IqlgFzFzrsOA3dol7YDbTaBHWaT,cut,carrot,grab the carrot,715535,719184,1,1,3.6,,
810,58,44,pasuhweUDq6zDNx2bi1R0OnN7ZmGUBjJ,cut,carrot,hold the carrot,719202,721743,1,1,2.5,,
811,58,45,MHFM6tBwnjlmVbYuHBHfbTMacS9nxasp,cut,carrot,pick up carrot,723163,727425,1,1,4.3,,
812,58,46,QB7LCqcFIbt0vWnZS5gnjWQJ13dJIfqx,cut,celery,grab celery,735393,739625,1,1,4.2,,
813,58,47,wpLrqs6y2Y2QHjcEaIhJUFENKN1TWpDw,cut,celery,pick up celery,739686,743416,1,1,3.7,,
814,58,48,lKH0BiKazXEUIovaXXoG3Wejf4VYWAkA,cut,celery,cut celery,744072,747052,1,1,3,,
815,58,49,z3QJEAec6DDs8t3OvTbG0twkgRkTcdzy,off,lid,"turn around, take lid off pot",758805,765603,1,0,6.8,,
816,58,50,izLj5sEMam99nCOxL5ZffJbyUYksXEuY,off,lid,taking off lid,765684,769763,0,1,4.1,,
817,58,51,CDZK67C6O2rdoqCl4takxQWEK4Prw7YZ,add,veges,pour veggies in pot,783267,792193,1,1,8.9,,
818,58,52,zfSCwqJWQAIEj5zmfdJe4GlXOXGgjzJC,add,veges,pour veggies in pot,802512,805200,1,1,2.7,,
819,58,53,SXMRNkGdyNfsN5qs7gaqeixtf67QqBKr,add,veges,put veggies in pot,805480,809414,1,1,3.9,,
820,58,54,8QxeljqH2YqZoK3DHJPPdW0RIjwT88dP,off,gas,turn off heat under pan,821280,827842,1,0,6.6,,
821,58,55,3mC5Zaj4rPk1Vy5U0YTMCCLOKd9Uzter,off,gas,shut off heat on left,829161,833063,1,0,3.9,,
822,58,56,ebXztDJnyrmnTpEnZGIvBRBzU8icsnPn,add,veges,pour pan into pot,843030,850075,1,0,7,,
823,58,57,9JF8dLNlXTBTBqueOa9gzWSoXIOcZCdB,add,veges,pour from left to right,853338,857547,1,1,4.2,,
824,58,58,JDH4jteZVeGbtUuz0yfJOSgD0rycsfaL,add,veges,pour pan into pot,857590,862269,1,1,4.7,,
825,58,59,S5QBsQPTn2Ac7T6cA3tauWQh2wtbHJLM,add,spice,"use seasoning, pour seasonings into pot",877403,887697,1,1,10.3,,
826,58,60,86xxPGraCTrEc71anyzvKTnKyXuB3kzU,add,spice,pour seasonings,887773,890065,1,1,2.3,,
827,58,61,DDNQDvko7YLXHFytAbTptzMypjrqEvOR,mix,veges,stir pot with spoon,907516,914535,1,1,7,,
828,58,62,w6vVAiQ6BIpbZgkHGEpUJGmzNY0eir2i,mix,veges,"turn around, stir pot with spoon",914698,919642,1,1,4.9,,
829,58,63,VCQQDDKs8m6vIzbPLZvUIvjbhC82plQ6,mix,veges,stirring motion,925046,928592,0,1,3.5,,
830,58,64,wzn2eLNJt3M3cvF9xbp9LkvV4bfgPLZk,on,lid,put lid on pot,941822,944686,1,1,2.9,,
831,58,65,raGodbCSK5bsTdeOqYSXSaHIbgFoxq9v,off,gas,turn off pot heat,958834,962566,1,1,3.7,,
832,58,66,rZH7fSlGJMCk8fv0Aop9REzWdAqugFOg,off,lid,take lid off,973207,977346,1,1,4.1,,
833,58,67,60yqCnWIQ5Ilnn9ulUY7LieUPHkwUoNf,fetch,soup,"grab bowl, put soup in bowl",992722,998538,1,1,5.8,,
834,58,68,6a077f5a13cf4e82a2803e8efbe3e51c,fetch,soup,pick up ladle,1005680,1011800,1,1,6.1,,
835,58,69,55738666b8904c8cb45424569ecaefd8,fetch,soup,pour soup into bowl,1013040,1018400,1,1,5.4,,
836,58,70,szK93fpwfL0pC2bSnoynWR2GU8OSzb5y,clean up,,"take pot off stove, put pot into sink",1039311,1044903,1,1,5.6,,
837,58,71,6wnGaUXboGvJIIpqHjQoqPRd9wHai4jv,clean up,,clean up,1045257,1047113,1,1,1.9,,
838,58,72,fxPXGRJyqWRthN6IaThHExs6KaYyy34D,clean up,,wash the dishes,1072046,1078974,1,1,6.9,,
839,59,0,uq2K3h0n1B1ZSmRvdjoVqAcjmWv3UNg6,Turn,gas,go to stove,263367,265754,1,0,2.4,,
840,59,1,qlGDmvtRUYFHmhGY9u6vX9aBHBVaQQDW,Turn,gas,turn around,267473,270552,1,1,3.1,,
841,59,2,Z1rAqarJdCzsOz46Yw1zxpRcpSwFPAYb,on,gas,move to stove,270851,272871,1,1,2,,
842,59,3,evqaTsKfe5nqxAipCrY99Ne39Hs2Ao2R,on,gas,boil water,272902,275306,1,1,2.4,,
843,59,4,xm5y8YUSgMW60xytkxB7b0eIX42Zxntv,Turn,lid,turn around,279711,281717,1,1,2,,
844,59,5,aLhrMznAFGVBCgXQCZ3syl0sO061w9yS,on,lid,put lid on pot,296169,300412,1,1,4.2,,
845,59,6,ahzmaznra9nUSMXxZT4koRFIpNOYgb71,Turn,lid,turn around,303906,305710,1,1,1.8,,
846,59,7,PuKZnOYGjQe7cA8cFhFnCkpWajyMfG1V,on,lid,grab lid,308267,312140,1,1,3.9,,
847,59,8,8mgZT91WUsr3LNESfW2ivtwgps9pFHzo,fetch,onion,grab onion,325227,327732,1,1,2.5,,
848,59,9,gace2s0LfsVFqmhOLXmB6D51gH80Fuy3,fetch,onion,grab veggie,337031,341078,1,1,4,,
849,59,10,wVMMrXN5Buoze5q1EsraUkr8pSqfNpcA,fetch,onion,put onion back,358773,361585,1,1,2.8,,
850,59,11,774MskKfw5Mi3KNwUtv4DH4SSOaSJK2f,fetch,onion,"grab onion, put onion back",362460,369464,1,1,7,,
851,59,12,3oA0Kq2dWfVXTYTjvcbVuaLpaD3DgZft,fetch,carrot,grab carrot,369705,372622,1,1,2.9,,
852,59,13,2YR1Ry7mnR9MKLqXdBHho3S6v1oqmejW,fetch,carrot,veggie on right,377891,380314,1,1,2.4,,
853,59,14,oNAwKknoGzwoTn94J2aT7LFkw6H50ppw,cut,onion,cut onion,394735,397510,1,1,2.8,,
854,59,15,6mZ6uiC5kqAg0SIm0nK94GKdYLyEpdcy,cut,tomato,cut tomato,411804,414220,1,1,2.4,,
855,59,16,2j0vp2DDQKM8iMW2s7TDGwGXKFlZK8YE,cut,tomato,grab a tomato,416515,420549,1,1,4,,
856,59,17,aWhWqGbAQKY8eJgzw1DSuxZmzqRUdR5B,cut,tomato,grab a tomato,426754,430050,1,1,3.3,,
857,59,18,VmPFYo2v99pPAPi8sY01zB6qI0NeVYua,cut,tomato,grab a tomato,435496,439582,1,1,4.1,,
858,59,19,jnqjMWDWhmrWWLs9S685YEvyyftqASHw,Turn,gas,go to stove,461398,464375,1,0,3,,
859,59,20,fYuyxe1CkNpveV8wtkCJZt1kotyVKtFB,on,gas,turn on stove,464507,467617,1,0,3.1,,
860,59,21,kgpulD5aHsVLD3QhBJBIFlbEML5zBuMP,on,gas,turn on burner under pan,472558,479232,1,1,6.7,,
861,59,22,IDK4rFXNfre1jqkmzKBBaCXJLXFm6LSN,add,oil,put oil into pan,490771,493996,1,1,3.2,,
862,59,23,2RgRMJQuFYkIWIkHttVmtRJY4YNO88Xx,add,oil,grab bottle,498542,501407,1,1,2.9,,
863,59,24,SnL8qN5wwqeKvqkMNLDSOmNBQbD6KgJp,add,veges,"put onions in pan, put tomatoes in pan",514520,519108,1,1,4.6,,
864,59,25,F2GG6YOdSj7BcNn6XjafjEhMoJJfOyw4,add,veges,place onions tomatoes into pan,526080,528313,1,1,2.2,,
865,59,26,olBEqlEWSBFBtJpGmYCbjK93YbWqbsSe,add,veges,put onions tomatoes into pan,530239,535317,1,1,5.1,,
866,59,27,nWBy2sHdZxADSliw42xzjuzjJSoW0oOI,add,veges,tilt board over pan,539699,543846,1,1,4.1,,
867,59,28,gYUtZ3W4L6J1kUD6lZaZJ5dXaxXieVTz,add,salt,season the pan,557906,561375,1,0,3.5,,
868,59,29,aF1IoSXFK3pxXTL5f6X0BJRpRicNnSZb,add,salt,grab container on right,565912,568691,1,1,2.8,,
869,59,30,GGXrGA70cXmH1v6gdG1pyHsyTqSjsNT8,add,pepper,pepper the pan,585042,587307,1,1,2.3,,
870,59,31,bzpoPvKCVfYoR2ptZRQSv8RrVT8sBlKX,add,pepper,twist container over pan,592226,595467,1,1,3.2,,
871,59,32,x5tlcOfdUih0yAk7Zt8yZXrC2QjqvQYr,mix,veges,mix pan with spoon,616690,619473,1,1,2.8,,
872,59,33,Ru1cOu7qFtrMREIWPFK5UarfEEWZ3RTK,mix,veges,grab spoon,623892,625724,1,1,1.8,,
873,59,34,mqxT0zXXsmVfGM5AGshjqhwBJoVNxKGg,mix,veges,stir pan,626462,628577,1,0,2.1,,
874,59,35,4EpBsb3A74HjOg76mAkHM2dOtiy6jqfE,mix,veges,wrong container,633106,634954,1,0,1.8,,
875,59,36,COJxSPBSFa5OGjum7oUiS48OfeaqptAL,cut,potato,cut potato,649931,652118,1,0,2.2,,
876,59,37,9ZkolkzMmHAXO3NZTdpVRP5wRWLkoJ0F,cut,potato,grab potato,654210,656563,1,1,2.4,,
877,59,38,A3RiXGABBdYC8kvLu9TFRZ1mCPdgRoKA,cut,potato,grab potato,657315,659749,1,0,2.4,,
878,59,39,r7LYe51zQ1CVxz2UeUK93RSC2fmvzQ9O,cut,potato,Forget command,665536,667686,1,0,2.2,,
879,59,40,3KQuTYZcMOp1gC1RDd7IeBPtkDGj4fXy,cut,potato,grab potato,669972,674063,1,1,4.1,,
880,59,41,5YSpit8Vgdjk94et2Ciod83ZgaAIzYRo,cut,potato,grab potato on right,680158,684832,1,1,4.7,,
881,59,42,7p0QfY3RvCw3CZtKvXAysMarin17fCAl,cut,carrot,cut carrot,707192,710516,1,1,3.3,,
882,59,43,d6SQsnxaDqIIoePP6XY604akkzslGxwJ,cut,celery,grab celery,731124,736565,1,1,5.4,,
883,59,44,hoa5Sel7HL1wV3C35sxKc64lUa6yCOHg,cut,celery,cut celery,737019,740137,1,1,3.1,,
884,59,45,fYx1EqWfKpfMnE5aXYFscp2gnbAjowUI,off,lid,take off lid,757404,760656,1,0,3.3,,
885,59,46,A3kURDXZGbX2o06UsOjOxAx7Tq7iUK3c,off,lid,take off pot lid,764884,767721,1,1,2.8,,
886,59,47,Wx2GagH5T9jgJo7dtc0IaIZ9CDEdiEBI,add,veges,put veggies in pot,786686,790141,1,0,3.5,,
887,59,48,kDFsDUWoKp5A6pIfJWX2A2Ipgl8PuQ2A,add,veges,tilt veggies in pot,799992,802653,1,1,2.7,,
888,59,49,f53MbWTGRyeK5iEuYq3RlD4lFII7x5UR,off,gas,turn off stove burner,815448,819952,1,1,4.5,,
889,59,50,VOEHwQ5f16eYcshK7AsAQYiQd5l2NhLj,off,gas,turn off burner,820525,823594,1,1,3.1,,
890,59,51,OK1bzyofA1vg8Wx7Hvg5lporhOizxIKw,add,veges,dump pan over pot,835679,838032,1,1,2.4,,
891,59,52,ZGuXsKKztWXElvEaBZreBqMPT2bfNOAs,add,veges,"grab pan, dump pan over pot",842468,846643,1,1,4.2,,
892,59,53,jCuAwGIeWM16g8x1sTiodVLKmPkFqLYI,add,spice,add seasoning,855969,858763,1,1,2.8,,
893,59,54,WyGl6idFm2LdNU6emVZ5TozKSGtRrgOQ,add,spice,"grab seasoning, put seasoning in pot",862673,867118,1,1,4.4,,
894,59,55,f9Bi4HIOHYM6YJG1Z9KHdO7zT2YSTquX,mix,veges,stir pot with spoon,887867,891334,1,1,3.5,,
895,59,56,u9CIRIDGn1fvlw9qbmUefwiTcp9a74H3,mix,veges,grab spoon,891851,894584,1,1,2.7,,
896,59,57,FRFxsAAIlxkmM9vWIXcmFdKXwDCRPGyr,mix,veges,"turn around, place lid on pot",917955,922124,1,1,4.2,,
897,59,58,CHwu47IT6wjyzJV0QnHxkS77PHK1Vy9m,off,gas,turn off burner,938742,941828,1,1,3.1,,
898,59,59,7h4qyGsMbPIgNzqZ8vkvXxYaR96iWiH7,off,lid,take off lid,954541,956818,1,1,2.3,,
899,59,60,KhTbsMUC9x5jaT9s8VjyEPDX1MnUFRyB,fetch,soup,pour soup into bowl,973214,980122,1,1,6.9,,
900,59,61,vH0QidXEWEcGH1SWYmOItV3xi3lqfjJO,fetch,soup,grab ladle,991530,993852,1,1,2.3,,
901,59,62,0WekQNm7M4gRRMVpCU0uFztBekxb42zu,clean up,,put dishes into sink,1031564,1034509,1,0,2.9,,
902,59,63,b0AfUJQxCNC7AtxnOep9FSIXIuuOrksb,clean up,,put bowl into sink,1057850,1060520,1,1,2.7,,
903,59,64,WxVHWH49tyyRNDy959WHlqAnFVeqk7Yf,clean up,,wipe counter,1061377,1063941,1,1,2.6,,
904,59,65,C7L2CaX2MAyKLHm8DDIUBjVqnPCKh1w6,clean up,,put spoons into sink,1066665,1069028,1,1,2.4,,
67,60,0,DBG5ZY3GOYA0uhXrR2Uch6cqentdng26,on,gas,turn on gas,264857,268664,1,1,3.8,,
68,60,1,kZSLsuusFGKn5u6sIZYKrRSNrlHER3TX,on,lid,"take the lid, put lid on pot",293909,297390,1,1,3.5,,
69,60,2,kzQMRAtSaATmLH0Tj47idfb1oIcgYo94,fetch,onion,pick up onion,314172,316913,1,1,2.7,,
70,60,3,rIBoIum8IQ4R98Jkc1Lh98qbN2vEsBG6,fetch,carrot,"pick up carrot, take carrot to board",364852,368218,1,1,3.4,,
71,60,4,fFuMZ7pYq1om9wffiqDFOYDaZu581gT3,cut,onion,cut an onion,380778,383319,1,1,2.5,,
72,60,5,qS7UGOpXn0B7NxI5dGeqZVQE7n9kNres,cut,tomato,cut the tomato,397010,399332,1,1,2.3,,
73,60,6,DxCmUsc8EQGXOc56wT7uSyltulKvZzSV,cut,tomato,cutting a tomato,400783,403272,1,1,2.5,,
74,60,7,YYZrg51HdKO64mlvmCEGTCo2mb3uzHyu,cut,tomato,pick up tomato,406640,409201,1,1,2.6,,
75,60,8,CQn0zvnKDocBnDuVU9zhU1nK9By5gceD,cut,tomato,pick up tomato,415202,417929,1,1,2.7,,
76,60,9,41qlZLN1RVVkbrCQvIIkyWTwPNvii0Hb,on,gas,turn on stove,442130,444721,1,1,2.6,,
77,60,10,LvZersLLgwtzCQYORdFwmStITBusA8vY,add,oil,"pick up oil, pour oil into pan",467101,470407,1,1,3.3,,
78,60,11,GSvzymk0btqQ7TsMoqur6XW1dEAWANtE,add,veges,tilt board to pan,504755,508967,1,1,4.2,,
79,60,12,1Ds4galVnbRdOZHId3geMuME9TFF1LMO,add,salt,put salt in veggies,520010,525090,1,1,5.1,,
80,60,13,gP1GBiiYu4rKtaIzXbiI4cnxENMVzKfP,add,pepper,"pick up pepper, grind pepper in pan",580513,585977,1,1,5.5,,
81,60,14,vosisnC68JZXxcwZr59x3UVpniTXdsrE,mix,veges,stir veggies with spoon,611179,613492,1,1,2.3,,
82,60,15,zdflLAmksAtxBE8ay60PlE8Aym1PiIcV,cut,potato,pick up potato,634744,637939,1,1,3.2,,
83,60,16,XfauxyWhHu0HV53dfiWBCgQEsIYazyH8,cut,potato,cutting a potato,640571,643757,1,1,3.2,,
84,60,17,X6F86ryFReiMk6MtMO4feJvGm8ppGPuU,cut,carrot,cut carrot,661879,664210,1,0,2.3,,
85,60,18,HdQ2zuKmAZXE8jezMrHI8RhYXvtJAv9T,cut,celery,cut celery,679756,681999,1,1,2.2,,
86,60,19,ni2zYPq3aQXF2rpTxcQc7E5wF30v9Gaa,off,lid,take lid off pot,706948,709008,1,1,2.1,,
